nom,date,temps,rate,vote,resume,cover
Beasts of No Nation,2015,2h 17m,7.7,89.0,"Une histoire basée sur les expériences d'Agu, un enfant soldat combattant dans la guerre civile d'un pays africain jamais nommé.","https://m.media-amazon.com/images/M/MV5BMTYwMzMzMDI0NF5BMl5BanBnXkFtZTgwNDQ3NjI3NjE@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Nebraska,2013,1h 55m,7.7,126.0,Un père vieillissant et bourré d'alcool fait le voyage du Montana au Nebraska avec son fils dont il est séparé afin de réclamer un prix de marketing Mega Sweepstakes d'un million de dollars.,"https://m.media-amazon.com/images/M/MV5BZjc5MGU2MWEtY2IwYy00YWE0LTljMDgtNTk4NzdkMGFjY2RlXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
The Magdalene Sisters,2002,1h 54m,7.7,29.0,Trois jeunes femmes irlandaises luttent pour ne pas se laisser abattre alors qu'elles supportent des traitements déshumanisants comme pensionnaires du couvent de la Madeleine.,"https://m.media-amazon.com/images/M/MV5BYWU4M2JlYzYtMDc0Ny00ZmIwLWI1YzctYjJkMGFkMWM5MzQ0XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Scarface,1932,1h 33m,7.7,32.0,"Un gangster violent ambitieux et presque fou gravit les échelons du succès du gang, mais ses faiblesses le perdront.","https://m.media-amazon.com/images/M/MV5BOGFmYjVmZmQtYzVhMC00ZTYxLTgyOGEtZjU5ZWQxNmVhMDhlXkEyXkFqcGc@._V1_QL75_UY207_CR14,0,140,207_.jpg"
L'Invasion des profanateurs de sépultures,1956,1h 20m,7.7,57.0,Un médecin d'une petite ville apprend que la population de sa communauté est en train d'être remplacée par des doublons extraterrestres sans émotion.,"https://m.media-amazon.com/images/M/MV5BNzJkNWI2YTgtNWZkOS00YWE5LWIyZmMtZjI5NjI3NGY5ZGIxXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
La Reine africaine,1951,1h 45m,7.7,87.0,"En Afrique, pendant la Première Guerre mondiale, un capitaine de bateau, gros buveur de gin, se laisse persuader par une missionnaire guindée d'attaquer un navire de guerre ennemi.","https://m.media-amazon.com/images/M/MV5BMTYwNTA4Mjk0Nl5BMl5BanBnXkFtZTgwNjMwMTY3MjE@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Rêves,1990,1h 59m,7.7,31.0,Une collection de contes basée sur huit des rêves récurrents du réalisateur Akira Kurosawa.,"https://m.media-amazon.com/images/M/MV5BNjQ2NDhkZDMtNTdlMi00MDNmLWI1YzItNDZkMzA4M2YxODU4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Night on Earth,1991,2h 9m,7.7,69.0,"Anthologie de 5 chauffeurs de taxi différents dans 5 villes américaines et européennes, et leurs courses incroyables en cette même nuit mouvementée.","https://m.media-amazon.com/images/M/MV5BYmEyYjE0NjgtNTFmMy00ZmY1LTg2MWUtYTU4MjdmYWJmYzMyXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
Les Innocents,1961,1h 40m,7.7,34.0,La jeune gouvernante de deux enfants est convaincue que leur maison est hantée.,"https://m.media-amazon.com/images/M/MV5BNjMzMzJkYmEtNDk2ZS00OTNhLWFlZWEtOTM2NWI4ZWQ4MmY4XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Qu'elle était verte ma vallée,1941,1h 58m,7.7,28.0,"A la fin du 19è siècle au Pays de Galles, la vie d'une famille de mineurs vue par plus le jeune des enfants, Huw: le travail difficile, les accidents, les peines, les joies, les combats, les renoncements, les espoirs pour Huw.","https://m.media-amazon.com/images/M/MV5BZTdiNGZmYTEtYmI2Mi00YjQyLWJiMGMtNGQ3YWJmOWE0MmVkXkEyXkFqcGc@._V1_QL75_UY207_CR10,0,140,207_.jpg"
À toute épreuve,1992,2h 8m,7.7,56.0,Un flic dur à cuire allie ses forces à un agent infiltré pour arrêter un malfrat sinistre et son gang.,"https://m.media-amazon.com/images/M/MV5BOTZkYjBlMTktOGNmMC00ZWMzLTlkYmYtNDAxYjNjNWRkNjE0XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg"
La poursuite infernale,1946,1h 37m,7.7,27.0,"Les Earps affrontent les Clantons à l'OK Corral situé à Tombstone, en Arizona.","https://m.media-amazon.com/images/M/MV5BODgzMjMzOTItY2QxYy00ZjlhLWFjZDgtODRmYTIxZDdmY2Q1XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
Perfetti sconosciuti,2016,1h 36m,7.7,74.0,"Sept amis de longue date se réuissent pour manger ensemble. Lorsqu'ils décident de partager le contenu de chaque texto, email et appel téléphonique qu'ils reçoivent, de nombreux secrets commencent à se dévoiler, l'équilibre frisonne.","https://m.media-amazon.com/images/M/MV5BMzBjZjIwZTMtMmVmMy00NDZjLThlMGYtMjMyODE4NjE0YjFiXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
Une femme disparaît,1938,1h 36m,7.7,59.0,"Lors de son voyage en Europe continentale, une jeune femme riche se rend compte qu'une femme plus âgée semble avoir disparu du train.","https://m.media-amazon.com/images/M/MV5BOGVjYjE3MjUtMmQxZS00NGQzLWJhOGEtZmI0M2NlZWZjODAxXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Key Largo,1948,1h 40m,7.7,45.0,"Un homme visite l'hôtel de son vieil ami et trouve un gangster comme propriétaire. À l'approche d'un ouragan, les deux hommes finissent par s'affronter.","https://m.media-amazon.com/images/M/MV5BMmVmNjY0MDQtMzE5Zi00ZmEzLTg3MzUtNTg1MWE0YWNiNzQ1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Seule dans la nuit,1967,1h 48m,7.7,35.0,"Devenue récemment aveugle, une femme est terrorisée par un trio de criminels recherchant une poupée bourrée d'héroïne qu'ils pensent se trouver dans son appartement.","https://m.media-amazon.com/images/M/MV5BMjJiMDRjNWUtZTVhYS00YTU5LWI2OTktZWI4YzY2YjY1MTc5XkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg"
Hedwig and the Angry Inch,2001,1h 35m,7.7,38.0,"Une fille punk rock transsexuelle de Berlin-Est fait une tournée aux États-Unis avec son groupe, tout en racontant l'histoire de sa vie et en suivant l'ancien amant/membre du groupe qui a volé ses chansons.","https://m.media-amazon.com/images/M/MV5BN2Q4MGJmYTgtNDhiMS00MTcwLTlhZjgtN2U5NWUyYzFiMWRmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Le goût de la cerise,1997,1h 35m,7.7,40.0,Un Iranien conduit son camion et recherche quelqu'un qui l'enterrera tranquillement sous un cerisier après son suicide.,"https://m.media-amazon.com/images/M/MV5BMjc2ODZhNjQtMDRkMy00YjI4LTg4YzItMjQyZmI4MmUwMDE2XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
"Parvana, une enfance en Afghanistan",2017,1h 34m,7.7,29.0,Une fillette impétueuse en Afghanistan se déguise en garçon pour pouvoir faire vivre sa famille.,"https://m.media-amazon.com/images/M/MV5BZjIzZmM2NTYtNGExYi00MTFkLWJmOTMtMTQyMTg1ZGUyYjk4XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Les nerfs à vif,1962,1h 46m,7.7,33.0,La famille d'un avocat est traquée par un homme qu'il a aidé à mettre en prison.,"https://m.media-amazon.com/images/M/MV5BZTI0ZDQyMjUtMGY1OC00NTFiLThhYjQtOTg0YTM4NTA2NjUzXkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg"
La traversée du temps,2006,1h 38m,7.7,73.0,Une lycéenne nommée Makoto acquiert le pouvoir de voyager dans le temps et décide de l'utiliser à son profit personnel. Elle ne sait pas qu'elle affecte la vie des autres autant que la sienne.,"https://m.media-amazon.com/images/M/MV5BYjlhNzYxZDYtNWU1Zi00ZDNkLTk4NDctNTE1MTRkZWVmMWVmXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
The Killer,1989,1h 51m,7.7,53.0,Un assassin désabusé accepte un dernier job dans l'espoir d'utiliser ses gains pour redonner la vue à un chanteur qu'il a accidentellement aveuglé.,"https://m.media-amazon.com/images/M/MV5BOWM5YzIyYTAtNzI1MS00N2VkLThlNjEtYTFmMDUxNjU0N2I2XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Adam's Apples,2005,1h 34m,7.7,57.0,Un néo-nazi condamné au service communautaire dans une église se heurte au prêtre aveuglément dévotionnel.,"https://m.media-amazon.com/images/M/MV5BMTU4NTc5NjM5M15BMl5BanBnXkFtZTgwODEyMTE0MDE@._V1_QL75_UY207_CR4,0,140,207_.jpg"
Le client,2016,2h 4m,7.7,67.0,"Alors qu'un enseignant et sa femme participent à une production de « Mort d'un commis-voyageur », celle-ci est agressée dans leur nouvelle maison ; son mari est bien déterminé à retrouver le coupable en dépit des objections de sa femme traumatisée.","https://m.media-amazon.com/images/M/MV5BZTExZTdiNDEtODM1Yi00NWQ3LTk1NGYtMmI2Mzk4ZjkzMTU4XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
JSA - Joint Security Area,2000,1h 50m,7.7,36.0,"Après une fusillade à la frontière nord-sud-coréenne en zone démilitarisée et la mort de deux soldats nord-coréens, une équipe suisse et suédoise neutre enquête sur ce qui s'est réellement passé.","https://m.media-amazon.com/images/M/MV5BMTI1NDA4NTMyN15BMl5BanBnXkFtZTYwNTA2ODc5._V1_QL75_UY207_CR3,0,140,207_.jpg"
Les triplettes de Belleville,2003,1h 20m,7.7,58.0,"Lorsque son petit-fils est enlevé pendant le Tour de France, Madame Souza, accompagnée de son chien bien-aimé, Bruno, s'allie pour le sauver avec Les Triplettes de Belleville, une troupe de danseuses et chanteuses âgées de l'époque de Fred Astaire.","https://m.media-amazon.com/images/M/MV5BNGJhNjk2NjctZDdlOC00ZjUxLTljNGItMjI5MTBlZDc1NjViXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Ondskan,2003,1h 53m,7.7,43.0,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.","https://m.media-amazon.com/images/M/MV5BYTExNTI3NDAtODE5MS00MmE1LWFhNjAtNDA5OWRhMWY4MWFhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Jules et Jim,1962,1h 45m,7.7,46.0,Un triangle amoureux entre deux amis et une femme impulsive sur plusieurs décennies.,"https://m.media-amazon.com/images/M/MV5BM2Y0NmFlMmUtOTgwOC00MjVlLTk3NGEtZWNmYWZlMmI3ODBlXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
La rose pourpre du Caire,1985,1h 22m,7.7,57.0,"Dans le New Jersey en 1935, un personnage de cinéma sort de l'écran et entre dans le monde réel.","https://m.media-amazon.com/images/M/MV5BYzdiNDdhMTQtMDAwYy00ODkxLTg4NGMtYjlkZjYyYmNkOWYyXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
L'avventura,1960,2h 24m,7.7,35.0,"Une femme disparaît lors d'une croisière sur la Méditerranée. Pendant les recherches, son fiancé et sa meilleure amie sont attirés l'un vers l'autre.","https://m.media-amazon.com/images/M/MV5BYTcxZDNkN2YtMmE0Mi00NTZiLTgyZDktMzAzNzM2MjhkNTRjXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
L'Expérience,2001,2h,7.7,98.0,"Pendant deux semaines, 20 participants masculins sont embauchés afin de jouer aux prisonniers et aux gardiens d'une prison. Les « prisonniers » et les « gardiens » appliquent des règles différentes.","https://m.media-amazon.com/images/M/MV5BNTJhNWU5MzgtYWZjMC00MTJhLTliMWItNTdmNTVkMGM4NTBiXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg"
Alabama Monroe,2012,1h 51m,7.7,44.0,"Élise et Didier ont le coup de foudre malgré leurs différences. Il parle, elle écoute. Lui est un athée romantique, elle une réaliste pieuse. Lorsque leur fille tombe gravement malade, leur amour est mis à l'épreuve.","https://m.media-amazon.com/images/M/MV5BOGM4MTRlMGUtNjY4Ny00MDlmLWE4ZWEtOGY4YTEzZTMyODc3XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
De l'autre côté,2007,1h 56m,7.7,35.0,Un homme turc se rend à Istanbul pour retrouver la fille de l'ex-petite amie de son père.,"https://m.media-amazon.com/images/M/MV5BNjgxMDQ5ZGUtZDk0MS00MDkzLWIxNDMtZmE0M2VhMjU3NTg2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
Soupe au canard,1933,1h 9m,7.7,64.0,Rufus T. Firefly est nommé président/dictateur de la Freedonie en faillite et déclare la guerre à sa voisine la Sylvanie pour l'amour de la riche Mme Teasdale.,"https://m.media-amazon.com/images/M/MV5BNGE5Mzg3NzMtZmI3My00ZWQwLThjYjYtOTZmZjQyNDVjMjIwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Le Passé,2013,2h 10m,7.7,52.0,"Un Iranien abandonne sa femme française et ses deux enfants pour retourner dans sa patrie. Pendant ce temps, sa femme entame une nouvelle relation, une réalité qu'il apprend au moment de la demande de divorce de sa femme.","https://m.media-amazon.com/images/M/MV5BMjE2MDU4MTY2Nl5BMl5BanBnXkFtZTcwNjM5Mjk0OQ@@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Vicky Donor,2012,2h 6m,7.7,46.0,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.","https://m.media-amazon.com/images/M/MV5BNjE5ZTc4YTUtOGNlYi00NmM2LTlhY2EtZjM4MzRmMzg5MTBlXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Orgueil et préjugés,2005,2h 9m,7.8,349.0,"La rencontre entre la fervente Elizabeth Bennet et le riche, célibataire et fier M. Darcy fait des étincelles, mais elle est d'une classe inférieure à la sienne. Pourront-ils surmonter leur orgueil et leurs préjugés?","https://m.media-amazon.com/images/M/MV5BMTBkMDIxMzctOGExNi00NDIwLWFjNTgtYTE0NWQxM2I2NGFjXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Pauvres Créatures,2023,2h 21m,7.8,337.0,"L'incroyable histoire de l'évolution fantastique de Bella Baxter, une jeune femme ramenée à la vie par le Dr Godwin Baxter, un scientifique brillant et peu orthodoxe.","https://m.media-amazon.com/images/M/MV5BYWU2MjRjZTYtMjVkMS00MTBjLWFiMTAtYmZlYTk1YjkyMWFkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
The Batman,2022,2h 56m,7.8,865.0,"Lorsque le Riddler, un tueur en série maniaque, commence à assassiner des personnalités politiques clés à Gotham, Batman est obligé d'enquêter sur la corruption cachée de la ville et de remettre en question l'implication de sa famille.","https://m.media-amazon.com/images/M/MV5BOWU3NDc5M2UtNTc3OC00ODgyLWI2ZjAtNGIzNTcxYzc1OTkzXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
The Big Short : Le Casse du siècle,2015,2h 10m,7.8,508.0,"En 2006-2007, un groupe d'investisseurs a parié contre le marché hypothécaire américain. Dans leurs recherches, ils découvrent combien le marché est faussé et corrompu.","https://m.media-amazon.com/images/M/MV5BN2NhMDU1M2EtNjVhNC00MjkyLWIwOTUtN2E4NWU1YWZkMmNkXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Breakfast Club,1985,1h 37m,7.8,454.0,Cinq lycéens se retrouvent en colle un samedi et découvrent qu'ils ont beaucoup plus en commun qu'ils ne le pensaient.,"https://m.media-amazon.com/images/M/MV5BNWIwNDAyMWMtYmZiMS00ZDM2LWJiODMtNDExNjc1YTYxYzcxXkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
Everything Everywhere All at Once,2022,2h 19m,7.8,576.0,"Dans l'ascenseur menant au contrôle fiscal de leur laverie, Waymond, qui adopte un comportement bizarre, explique à sa femme qu'elle seule peut sauver l'univers en utilisant les aptitudes de ses doubles provenant de mondes parallèles.","https://m.media-amazon.com/images/M/MV5BNjZjYjZjZmItYmEzMS00ZWRjLWI3YmMtMDc1MjU1ZjZmYWQxXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
The Gentlemen,2019,1h 53m,7.8,431.0,Un baron de la drogue britannique tente de vendre son empire à une dynastie de milliardaires de l'Oklahoma.,"https://m.media-amazon.com/images/M/MV5BMTBkZWJlNDUtOTU0Ny00NjZjLWE2NDAtOGQwNDE0OThhYTU5XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg"
Les Figures de l'ombre,2016,2h 7m,7.8,272.0,L'histoire d'une équipe de mathématiciennes afro-américaines qui ont joué un rôle essentiel à la NASA au cours des premières années du programme spatial américain.,"https://m.media-amazon.com/images/M/MV5BZjg4NTRhZDYtMWM3Ni00N2ExLTgxNDAtMDRmM2VhZTI4Y2M4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
N'oublie jamais,2004,2h 3m,7.8,652.0,"Un jeune homme pauvre et passionné tombe amoureux d'une jeune femme aisée, lui donnant un sentiment de liberté, mais ils sont bientôt séparés en raison de leurs différences sociales.","https://m.media-amazon.com/images/M/MV5BOGJhNGFjZTEtMTM3YS00ZjIxLThkZDYtMzA0YWY3MzNkY2M1XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
The Irishman,2019,3h 29m,7.8,451.0,"Un tueur à gages de la mafia, soupçonné d'avoir été impliqué dans le meurtre de Jimmy Hoffa, se souvient des évènements.","https://m.media-amazon.com/images/M/MV5BYjk2YmQzNjMtOGZiZi00NzhlLTk4NjYtNDBiZDE1YmYyZGFkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Get Out,2017,1h 44m,7.8,754.0,"Un jeune Afro-Américain rend visite aux parents de sa petite amie blanche pour le week-end, où ses inquiétudes quant à leur accueil atteint un point de non-retour.","https://m.media-amazon.com/images/M/MV5BM2NjNGRkZjItMDIzMy00ODRmLThjNzgtNjA1MGVhMzY0MzMzXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Les 8 Salopards,2015,2h 48m,7.8,688.0,"En plein milieu de l'hiver dans le Wyoming, un chasseur de primes et son prisonnier trouvent refuge dans un chalet habité par une bande de personnages néfastes.","https://m.media-amazon.com/images/M/MV5BMDViNTVjNzMtMzA5NS00MzVhLThiMDgtOTE3MDU4ZGEwODRmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Tombstone,1993,2h 10m,7.8,176.0,Un avocat ayant réussit à prendre sa retraite anonymement à Tombstone en Arizona voit ses projets perturbés par le genre de hors-la-loi qu'il avait pour habitude d'éliminer éliminait. était réputé pour son élimination.,"https://m.media-amazon.com/images/M/MV5BODIxMTQ1N2ItMDY3OS00ODE3LWE0ZDAtZWRlOWUwMTdiNmRmXkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg"
Call Me by Your Name,2017,2h 12m,7.8,338.0,"Dans les années 1980, une romance s'épanouit entre un élève de dix-sept ans et un homme plus âgé embauché comme assistant de recherche de son père.","https://m.media-amazon.com/images/M/MV5BOThmZTI3YWEtMDUyNC00NjAxLWFhNWItMjM1NDlkZmEzMTQwXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Il était temps,2013,2h 3m,7.8,410.0,"À l'âge de 21 ans, Tim découvre qu'il peut voyager dans le temps et changer ce qui a pu se passer dans sa vie. Sa décision de rendre son monde meilleur en trouvant une petite amie n'est pas aussi simple qu'on le pense.","https://m.media-amazon.com/images/M/MV5BZGI3YmVkZTMtOWJiNi00NmM1LThhYmUtYzhjZTVjZDVkZDQyXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Rogue One: A Star Wars story,2016,2h 13m,7.8,711.0,La fille d'un scientifique impérial se joint à l'Alliance Rebelle dans une tentative risquée pour voler les plans de l'Étoile de la mort.,"https://m.media-amazon.com/images/M/MV5BYWEyNmUwN2UtMzEzOS00YTM2LTlhYTctNTg5YzQxNTc3NTk0XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
Reviens-moi,2007,2h 3m,7.8,312.0,"La jeune écrivaine Briony Tallis, âgée de treize ans, change irrévocablement le cours de plusieurs vies lorsqu'elle accuse l'amant de sa soeur aînée d'un crime qu'il n'a pas commis.","https://m.media-amazon.com/images/M/MV5BZmQ5ZjZlMzMtODA1ZS00NTNiLWIzOTYtOTQyYjQ2YWQxMTA1XkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Apocalypto,2006,2h 19m,7.8,344.0,"Alors que le royaume maya est confronté à son déclin, un jeune homme est embarqué dans un voyage périlleux vers un monde régi par la peur et l'oppression.","https://m.media-amazon.com/images/M/MV5BMzJkNzI3ZmEtZmRhOS00YTM1LWI3OTAtZmVjZmNkODIxNmFmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
La Folle Journée de Ferris Bueller,1986,1h 43m,7.8,401.0,"Un lycéen est déterminé à avoir un jour de congé, malgré ce que le directeur en pense.","https://m.media-amazon.com/images/M/MV5BZWIwMTQ4NDUtNDY3My00YjRjLTgzMWMtNWZhMmNhNzc4ODk0XkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Le Hobbit : Un Voyage Inattendu,2012,2h 49m,7.8,900.0,"Le réticent hobbit, Bilbon Sacquet, part pour la Montagne solitaire avec un groupe impétueux de nains pour reconquérir leur montagne et l'or qu'elle renferme des griffes du dragon Smaug.","https://m.media-amazon.com/images/M/MV5BYmFjYjYxOWMtNmZmOC00MGRlLWE5NmUtODQzNWZkZjc3MjQxXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Mississippi Burning,1988,2h 8m,7.8,120.0,Deux agents du FBI aux styles très différents arrivent dans l'état du Mississippi pour enquêter sur la disparition de militants pour les droits civiques.,"https://m.media-amazon.com/images/M/MV5BM2RkYzkzMzgtZDlkZi00OGJlLTk5OTktNzQyZDk4YTNkZDkxXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg"
Past lives - Nos vies d'avant,2023,1h 45m,7.8,149.0,"Nora et Hae Sung, deux amis d'enfance profondément liés, sont séparés après que la famille de Nora a émigré de Corée du Sud.","https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
Les Filles du docteur March,2019,2h 15m,7.8,265.0,Quatre soeurs grandissent en Amérique au lendemain de la guerre de Sécession.,"https://m.media-amazon.com/images/M/MV5BYTE5ZDI4OTMtZWIyOS00ZDkyLTg1NWEtNzJmMGY2YWQ2NzViXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
Il était une fois le Bronx,1993,2h 1m,7.8,171.0,Un père s'inquiète lorsqu'un gangster local devient ami avec son fils dans le Bronx des années 1960.,"https://m.media-amazon.com/images/M/MV5BMTU0MTAzNDU1Ml5BMl5BanBnXkFtZTYwMTk1NDc4._V1_QL75_UY207_CR6,0,140,207_.jpg"
Predator,1987,1h 47m,7.8,475.0,"Le major Dutch et son équipe partent en mission dans la jungle d'Amérique centrale afin de délivrer des otages. Sur place, ils sont attaqués par un mystérieux ennemi extraterrestre qui les élimine un par un.","https://m.media-amazon.com/images/M/MV5BOWEzMDI0MTUtMjQ0Yy00MGRhLWI4YjAtZTgzZTM3NTYxZGJkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg"
S.O.S. fantômes,1984,1h 45m,7.8,469.0,Trois anciens professeurs de parapsychologie ouvrent leurs portes en tant que service unique d'élimination de fantômes.,"https://m.media-amazon.com/images/M/MV5BMTg3MDgzODQzMV5BMl5BanBnXkFtZTgwMjA3MjYyMTE@._V1_QL75_UY207_CR3,0,140,207_.jpg"
The Social Network,2010,2h,7.8,787.0,"Mark Zuckerberg, étudiant à Harvard, crée le site de réseau social qui deviendra Facebook, mais il se retrouve poursuivi en justice par deux frères qui l'accusent d'avoir volé leur idée ainsi que par le co-fondateur de Facebook qui fut par la suite évincé de l'entreprise.","https://m.media-amazon.com/images/M/MV5BZDY4OThjZTgtMjc0Ny00ZmFjLWI2MGMtMDFkNGU3NDJkZjRmXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Drive,2011,1h 40m,7.8,733.0,"Un mécanicien, cascadeur à Hollywood le jour et chauffeur la nuit, tombe amoureux de sa voisine de palier. Lorsque le mari de cette dernière sort de prison, il décide de l'aider à s'acquitter d'une dette en participant à un braquage.","https://m.media-amazon.com/images/M/MV5BZjAzZTU5N2EtNjYxNC00ZmVmLWE1MDQtOTVmOTA2NGJhNjkwXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg"
Les Nouveaux Héros,2014,1h 42m,7.8,526.0,Le grand robot gonflable Baymax et le prodige Hiro Hamada développent un lien spécial et font équipe avec un groupe d'amis pour former une bande de héros high-tech.,"https://m.media-amazon.com/images/M/MV5BNjNlNmE4OWYtZjU3My00ZWFkLTg2ZTYtMjUwZGZkZjZjNzFjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Millénium : Les Hommes qui n'aimaient pas les femmes,2011,2h 38m,7.8,512.0,"Le journaliste Mikael Blomkvist, à la recherche d'une femme disparue depuis quarante ans, est aidé par Lisbeth Salander, une jeune pirate informatique.","https://m.media-amazon.com/images/M/MV5BZmJmZGE1MDAtNTJkZC00YWUzLTg3MTgtNjE5NWMwZGMzM2MyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg"
Little Miss Sunshine,2006,1h 41m,7.8,535.0,Une famille déterminée à faire arriver sa fille en finale d'un concours de beauté se lance dans un périple à travers les États-Unis dans son mini-van.,"https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_QL75_UY207_CR0,0,140,207_.jpg"
Dunkerque,2017,1h 46m,7.8,770.0,"À Dunkerque, des soldats britanniques, français et belges sont encerclés par l'armée allemande et évacués dans l'une des entreprises les plus ambitieuses de la Seconde Guerre mondiale.","https://m.media-amazon.com/images/M/MV5BYjY4MTZlZTUtMzRjYS00NzUwLWI5NzMtNWY5OTI0MzMxMDc5XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
"À l'Ouest, rien de nouveau",2022,2h 28m,7.8,271.0,Les expériences terrifiantes et la détresse d'un jeune soldat allemand sur le front de l'Ouest pendant la Première Guerre mondiale.,"https://m.media-amazon.com/images/M/MV5BNjAzMzIxNDgtYzM5Yy00YmMzLWEyMTUtMGUwYmU0OTUwMWUzXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg"
Willy Wonka au pays enchanté,1971,1h 40m,7.8,236.0,Un jeune garçon pauvre mais plein d'espoir recherche l'un des cinq tickets d'or très convoités qui lui permettront de visiter la mystérieuse chocolaterie de Willy Wonka.,"https://m.media-amazon.com/images/M/MV5BYTAzMDg3YjYtZmNmZC00NDljLTg3NWMtYjgwM2VjYmJhODY2XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg"
