nom,date,temps,rate,vote,resume,cover,genre,director,imdb_id
Past lives - Nos vies d'avant,2023,1h 45m,7.8,149,"Nora et Hae Sung, deux amis d'enfance profondément liés, sont séparés après que la famille de Nora a émigré de Corée du Sud.","https://m.media-amazon.com/images/M/MV5BYjQyMTNhNjUtN2VmYy00NWRhLTkwOTctMGVmNTBmNDIxYjZhXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Horror,Christopher Nolan,tt1000241
Les Filles du docteur March,2019,2h 15m,7.8,265,Quatre soeurs grandissent en Amérique au lendemain de la guerre de Sécession.,"https://m.media-amazon.com/images/M/MV5BYTE5ZDI4OTMtZWIyOS00ZDkyLTg1NWEtNzJmMGY2YWQ2NzViXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Romance,Martin Scorsese,tt1000242
Il était une fois le Bronx,1993,2h 1m,7.8,171,Un père s'inquiète lorsqu'un gangster local devient ami avec son fils dans le Bronx des années 1960.,"https://m.media-amazon.com/images/M/MV5BMTU0MTAzNDU1Ml5BMl5BanBnXkFtZTYwMTk1NDc4._V1_QL75_UY207_CR6,0,140,207_.jpg",Comedy,Patty Jenkins,tt1000243
Predator,1987,1h 47m,7.8,475,"Le major Dutch et son équipe partent en mission dans la jungle d'Amérique centrale afin de délivrer des otages. Sur place, ils sont attaqués par un mystérieux ennemi extraterrestre qui les élimine un par un.","https://m.media-amazon.com/images/M/MV5BOWEzMDI0MTUtMjQ0Yy00MGRhLWI4YjAtZTgzZTM3NTYxZGJkXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Action,Denis Villeneuve,tt1000244
S.O.S. fantômes,1984,1h 45m,7.8,469,Trois anciens professeurs de parapsychologie ouvrent leurs portes en tant que service unique d'élimination de fantômes.,"https://m.media-amazon.com/images/M/MV5BMTg3MDgzODQzMV5BMl5BanBnXkFtZTgwMjA3MjYyMTE@._V1_QL75_UY207_CR3,0,140,207_.jpg",Horror,Martin Scorsese,tt1000245
The Social Network,2010,2h,7.8,787,"Mark Zuckerberg, étudiant à Harvard, crée le site de réseau social qui deviendra Facebook, mais il se retrouve poursuivi en justice par deux frères qui l'accusent d'avoir volé leur idée ainsi que par le co-fondateur de Facebook qui fut par la suite évincé de l'entreprise.","https://m.media-amazon.com/images/M/MV5BZDY4OThjZTgtMjc0Ny00ZmFjLWI2MGMtMDFkNGU3NDJkZjRmXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Drama,James Cameron,tt1000246
Drive,2011,1h 40m,7.8,733,"Un mécanicien, cascadeur à Hollywood le jour et chauffeur la nuit, tombe amoureux de sa voisine de palier. Lorsque le mari de cette dernière sort de prison, il décide de l'aider à s'acquitter d'une dette en participant à un braquage.","https://m.media-amazon.com/images/M/MV5BZjAzZTU5N2EtNjYxNC00ZmVmLWE1MDQtOTVmOTA2NGJhNjkwXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Comedy,Denis Villeneuve,tt1000247
Les Nouveaux Héros,2014,1h 42m,7.8,526,Le grand robot gonflable Baymax et le prodige Hiro Hamada développent un lien spécial et font équipe avec un groupe d'amis pour former une bande de héros high-tech.,"https://m.media-amazon.com/images/M/MV5BNjNlNmE4OWYtZjU3My00ZWFkLTg2ZTYtMjUwZGZkZjZjNzFjXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Romance,Christopher Nolan,tt1000248
Millénium : Les Hommes qui n'aimaient pas les femmes,2011,2h 38m,7.8,512,"Le journaliste Mikael Blomkvist, à la recherche d'une femme disparue depuis quarante ans, est aidé par Lisbeth Salander, une jeune pirate informatique.","https://m.media-amazon.com/images/M/MV5BZmJmZGE1MDAtNTJkZC00YWUzLTg3MTgtNjE5NWMwZGMzM2MyXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Horror,Greta Gerwig,tt1000249
Little Miss Sunshine,2006,1h 41m,7.8,535,Une famille déterminée à faire arriver sa fille en finale d'un concours de beauté se lance dans un périple à travers les États-Unis dans son mini-van.,"https://m.media-amazon.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_QL75_UY207_CR0,0,140,207_.jpg",Fantasy,James Cameron,tt1000250
Dunkerque,2017,1h 46m,7.8,770,"À Dunkerque, des soldats britanniques, français et belges sont encerclés par l'armée allemande et évacués dans l'une des entreprises les plus ambitieuses de la Seconde Guerre mondiale.","https://m.media-amazon.com/images/M/MV5BYjY4MTZlZTUtMzRjYS00NzUwLWI5NzMtNWY5OTI0MzMxMDc5XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Thriller,Martin Scorsese,tt1000251
"À l'Ouest, rien de nouveau",2022,2h 28m,7.8,271,Les expériences terrifiantes et la détresse d'un jeune soldat allemand sur le front de l'Ouest pendant la Première Guerre mondiale.,"https://m.media-amazon.com/images/M/MV5BNjAzMzIxNDgtYzM5Yy00YmMzLWEyMTUtMGUwYmU0OTUwMWUzXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",Drama,James Cameron,tt1000252
Willy Wonka au pays enchanté,1971,1h 40m,7.8,236,Un jeune garçon pauvre mais plein d'espoir recherche l'un des cinq tickets d'or très convoités qui lui permettront de visiter la mystérieuse chocolaterie de Willy Wonka.,"https://m.media-amazon.com/images/M/MV5BYTAzMDg3YjYtZmNmZC00NDljLTg3NWMtYjgwM2VjYmJhODY2XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Horror,Steven Spielberg,tt1000253
Le gang des champions,1993,1h 41m,7.8,108,"Au cours de l'été 1962, un jeune garçon, fraîchement débarqué en ville, est pris sous l'aile d'un jeune prodige du baseball et de sa flamboyante équipe, pour de folles aventures.","https://m.media-amazon.com/images/M/MV5BMzBhNGFkMGItZWQyNS00YTY1LWIxYzUtYWRiMjk3YWI1MTgxXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",Fantasy,Greta Gerwig,tt1000254
Star Wars : Épisode VII - Le Réveil de la Force,2015,2h 18m,7.8,996,"Trente ans après la défaite de l'Empire, une nouvelle menace apparaît au sein du Premier Ordre. Le Stormtrooper déserteur Finn et Rey se retrouvent impliqués par la Résistance dans la recherche de Luke Skywalker.","https://m.media-amazon.com/images/M/MV5BYTZiZWVhYzItMjA5OS00NGFkLTkxZmYtZjBiZmRiN2U5NmQxXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Action,James Cameron,tt1000255
Le Chat potté 2 : La Dernière Quête,2022,1h 42m,7.8,201,Le Chat potté découvre que sa passion pour l'aventure a fait des ravages : il a épuisé huit de ses neuf vies. Notre héros se lance alors dans un voyage épique à la recherche de la légendaire Étoile à Vœu afin de retrouver sa jeunesse.,"https://m.media-amazon.com/images/M/MV5BYzE2MjkxYjItYTIwZi00ZWE1LWE0MzctNTQ3ZjVmYjk0Y2QxXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg",Horror,Christopher Nolan,tt1000256
Captain America: Civil War,2016,2h 27m,7.8,884,L'implication politique dans les activités des Avengers provoque une rupture entre Capitaine America et Iron Man.,"https://m.media-amazon.com/images/M/MV5BZTg0MTNlMDMtOWMwZS00ZDNmLWJhMWQtNzhkNTdkZmIzNGQxXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Romance,Steven Spielberg,tt1000257
Moon: La Face cachée,2009,1h 37m,7.8,385,"Sam Bell, astronaute, a une relation qui semble parfaite, au terme de ses trois années sur la lune. GERTY, son ordinateur, et lui, renvoie des parties d'une resource à la Terre qui a beaucoup aidé à minimiser les problemes d'énergie sur la planète.","https://m.media-amazon.com/images/M/MV5BMTgzODgyNTQwOV5BMl5BanBnXkFtZTcwNzc0NTc0Mg@@._V1_QL75_UY207_CR1,0,140,207_.jpg",Comedy,Quentin Tarantino,tt1000258
Le Fugitif,1993,2h 10m,7.8,332,"Le Dr. Richard Kimble, injustement accusé de l'assassinat de sa femme, doit retrouver le véritable meurtrier alors qu'il est pris en chasse par un U.S. Marshal chevronné.","https://m.media-amazon.com/images/M/MV5BYmZlYWZiNDEtN2NiNi00YzdmLWFjNmQtNWU3MjY0YzBiOWQwXkEyXkFqcGc@._V1_QL75_UY207_CR0,0,140,207_.jpg",Thriller,James Cameron,tt1000259
Hot Fuzz,2007,2h 1m,7.8,550,Un officier de police qualifié de Londres est transféré dans une petite ville qui recèle un sombre secret.,"https://m.media-amazon.com/images/M/MV5BN2EwOWIxNGQtM2E0YS00NWZmLWExNjQtNWE1MmM4MTI4YTlkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Action,James Cameron,tt1000260
Manchester by the Sea,2016,2h 17m,7.8,330,Un oncle dépressif doit prendre soin de son neveu adolescent après le décès de son père.,"https://m.media-amazon.com/images/M/MV5BMWUwYThmOGQtN2FhOS00ODkzLWIxYmYtMDRkODg5MzEzMzM5XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Thriller,Jordan Peele,tt1000261
Training Day,2001,2h 2m,7.8,494,"Lors de son premier jour en tant qu'officier des stupéfiants à Los Angeles, un policier novice dépasse les limites d'une journée de travail en formation bien remplie au sein de la division des stupéfiants du commissariat de Los Angeles avec un détective qui n'est pas ce qu'il semble être.","https://m.media-amazon.com/images/M/MV5BMjRlNjUwOGYtNGQxZS00ZjhkLTg0NDgtYjcwNzZlNDU2YjBlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Drama,Greta Gerwig,tt1000262
L'Étrange Histoire de Benjamin Button,2008,2h 46m,7.8,719,"L'histoire de Benjamin Button, un homme qui se met à vieillir à l'envers avec des conséquences surprenantes.","https://m.media-amazon.com/images/M/MV5BMzE2ODdlZWUtNGQ5My00YmVkLWI3MWQtMjQyMzc5NzViNjA1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Adventure,Jordan Peele,tt1000263
Night Call,2014,1h 57m,7.8,634,"Lorsque Louis Bloom, escroc en manque de travail, s'immisce dans le monde du journalisme de faits divers de Los Angeles, il refuse la distinction entre observateur et participant pour devenir la star de sa propre histoire.","https://m.media-amazon.com/images/M/MV5BNWMwYTNhY2YtZmU4My00NDc3LWFlMGQtZTRlYTI3ZmJiY2NlXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Romance,Martin Scorsese,tt1000264
Devine qui vient dîner...,1967,1h 48m,7.8,51,"Joey vient chez ses parents pour leur présenter son récent fiancé John. Mais celui-ci est noir, veuf et plus âgé. Les parents, pourtant libéraux, ont quelques réserves. La situation se compliquera lorsque les parents de John arriveront.","https://m.media-amazon.com/images/M/MV5BMzMzOWI1NDYtMTcxYy00NTdkLTlmOWItYmQ2YjRmMTU5YzU0XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg",Drama,James Cameron,tt1000265
Misery,1990,1h 47m,7.8,249,"Un célèbre romancier, sauvé d'un accident de voiture par une fan éplorée, réalise que les soins que celle-ci lui prodigue ne sont que le début d'un long cauchemar.","https://m.media-amazon.com/images/M/MV5BNzY0ODQ3MTMxN15BMl5BanBnXkFtZTgwMDkwNTg4NjE@._V1_QL75_UX140_CR0,1,140,207_.jpg",Comedy,Steven Spielberg,tt1000266
The Man from Earth,2007,1h 27m,7.8,208,Une fête d'au revoir impromptue pour le Professeur John Oldman se transforme en interrogatoire mystérieux après que l'universitaire sur le départ révèle à ses collègues un passé plus étrange qu'ils n'auraient pu s'imaginer.,"https://m.media-amazon.com/images/M/MV5BOTE1NGYxNjgtYmVlMS00ODEwLTg2NjAtMTdjODMzY2I1ZjZmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Action,Quentin Tarantino,tt1000267
Seul au monde,2000,2h 23m,7.8,663,Un dirigeant de FedEx subit des transformations physiques et émotionnelles pour survivre à un crash sur une île déserte.,"https://m.media-amazon.com/images/M/MV5BYTI2Mzg1ZWUtYmI0Zi00ZDIzLWIzZjEtZGE3ZWZlYTQ3YmM1XkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",Sci-Fi,Greta Gerwig,tt1000268
Mary Poppins,1964,2h 19m,7.8,192,"Au tournant du siècle dernier, une nounou magique emploie musique et aventure pour aider deux enfants délaissés à se rapprocher de leur père.","https://m.media-amazon.com/images/M/MV5BNmExMzk0YmQtMTk3ZS00MWJlLWIzYTItMTUzMmFmNTM4NzI0XkEyXkFqcGc@._V1_QL75_UY207_CR10,0,140,207_.jpg",Adventure,Jordan Peele,tt1000269
American Gangster,2007,2h 37m,7.8,470,"Un policier exclu de la ville de New York est accusé d'avoir abattu un 'baron de la drogue' à Harlem, Frank Lucas, dont la vie réelle a inspiré ce film en partie biographique.","https://m.media-amazon.com/images/M/MV5BZGExM2MwNjUtNThkNi00ZjBmLWJhZDgtN2ZmOWJiZWEwNGMxXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Drama,Quentin Tarantino,tt1000270
The Fall,2006,1h 57m,7.8,122,"Dans un hôpital de Los Angeles des années 20, un cascadeur blessé raconte à une petite fille au bras cassé, une histoire avec cinq héros mythiques. Grâce à son imagination délurée, la frontière entre la fiction et la réalité s'estompe.","https://m.media-amazon.com/images/M/MV5BMjAzODUwMjM1M15BMl5BanBnXkFtZTcwNjU2MjU2MQ@@._V1_QL75_UX140_CR0,9,140,207_.jpg",Romance,Jordan Peele,tt1000271
Nosferatu le vampire,1922,1h 34m,7.8,118,"Hutter, envoyé par son patron dans les Carpates, doit proposer une nouvelle résidence au comte Orlok. Le vampire, séduit par la photo de l'épouse de son invité, s'embarque pour Wisborg, semant la peste sur son passage.","https://m.media-amazon.com/images/M/MV5BMTU5NDAyNDczM15BMl5BanBnXkFtZTgwMzQ2ODMwMzE@._V1_QL75_UY207_CR8,0,140,207_.jpg",Romance,Quentin Tarantino,tt1000272
Serenity - L'ultime rébellion,2005,1h 59m,7.8,310,L'équipage du navire Serenity (Sérénité) essaie d'échapper à un assassin qui tente de recapturer un membre de l'équipage qui est télépathe.,"https://m.media-amazon.com/images/M/MV5BZWRjOGQwYTQtYTMzYy00ZjRjLWI3MDgtYmE1YjcxYWI4MWYyXkEyXkFqcGc@._V1_QL75_UY207_CR5,0,140,207_.jpg",Sci-Fi,Patty Jenkins,tt1000273
Le plus beau des combats,2000,1h 53m,7.8,240,L'histoire vraie d'un entraîneur afro-américain et de son équipe de lycéens lors de leur première saison en tant qu'entité multiethnique.,"https://m.media-amazon.com/images/M/MV5BMDlmM2ZhNjEtMDJkMC00MmNkLWE2MjktMzI3Mjg3Mzc4MTI0XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Romance,Martin Scorsese,tt1000274
Le Hobbit : La Désolation de Smaug,2013,2h 41m,7.8,729,"Les nains, ainsi que Bilbo Baggins et Gandalf le Gris, poursuivent leur quête pour récupérer Erebor, leur patrie, des griffes de Smaug. Bilbo Baggins est en possession d'une mystérieuse bague magique.","https://m.media-amazon.com/images/M/MV5BZGEzZGIzOWMtZDcwNy00YTJhLWJiM2YtMzIxN2U4MDBkYTY2XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Adventure,Martin Scorsese,tt1000275
Les Incorruptibles,1987,1h 59m,7.8,342,"L'agent fédéral Eliot Ness est bien déterminé à arrêter Al Capone? en raison de la corruption endémique, il réunit une petite équipe triée sur le volet.","https://m.media-amazon.com/images/M/MV5BNDcyY2FiMjUtYzY1Yy00ZTYxLTgxMmYtN2YxYTUwNzdkZmExXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Fantasy,Christopher Nolan,tt1000276
Skyfall,2012,2h 23m,7.8,749,"La loyauté de Bond envers M est testée lorsque son passé revient le hanter. Quand le MI6 est attaqué, 007 doit détecter et détruire la menace, quel que soit le coût.","https://m.media-amazon.com/images/M/MV5BZmQzOTBmZGQtM2Q0Ni00ZThmLWIwZDctNjc4Zjk2ZTE4MDUzXkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg",Thriller,Martin Scorsese,tt1000277
Moonrise Kingdom,2012,1h 34m,7.8,374,"Une paire de jeunes amants s'enfuient de leur ville de New England, et le groupe de recherche des riverains s'étale à leur recherche.","https://m.media-amazon.com/images/M/MV5BMTEwMTc3NDkzOTJeQTJeQWpwZ15BbWU3MDI4NTAwNzc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Thriller,Martin Scorsese,tt1000278
Paddington 2,2017,1h 43m,7.8,105,"Paddington, maintenant heureux, bien installé chez les Brown et membre apprécié de la communauté locale, décroche une série de petits boulots afin de pouvoir acheter le cadeau idéal pour le 100ème anniversaire de sa tante Lucy.","https://m.media-amazon.com/images/M/MV5BNzYxYTE4NmQtNjI4NC00YTE3LTliZWMtZmZmZGI0N2U3MjFmXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Romance,Steven Spielberg,tt1000279
J'ai rencontré le diable,2010,2h 24m,7.8,155,Un agent secret se venge d'un tueur en série en le capturant et le relâchant à maintes reprises.,"https://m.media-amazon.com/images/M/MV5BM2Q1ZGZiNTYtMWNjOC00NmU2LTg1MDQtZGZkNmY0Y2RlOTBmXkEyXkFqcGc@._V1_QL75_UX140_CR0,0,140,207_.jpg",Fantasy,Greta Gerwig,tt1000280
Retour vers le futur 2,1989,1h 48m,7.8,595,"Après un détour par 2015, Marty McFly doit recommencer sa visite de 1955 afin d'éviter des changements désastreux en 1985... mais sans nuire aux effets de son premier voyage.","https://m.media-amazon.com/images/M/MV5BMTIzNTk1MTkzMV5BMl5BanBnXkFtZTYwNjQ0OTE5._V1_QL75_UX140_CR0,16,140,207_.jpg",Adventure,Martin Scorsese,tt1000281
La Mémoire dans la peau,2002,1h 59m,7.8,593,"Un homme est arrêté par un bateau de pêche, rongé par les balles et atteint d'amnésie, avant de courir pour échapper à des assassins et tenter de retrouver sa mémoire.","https://m.media-amazon.com/images/M/MV5BY2ViZmY3MjktNmY2Yi00ZTU3LWFhMGYtMzI1ZGRlMzQ0YjU4XkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg",Romance,Denis Villeneuve,tt1000282
L'éveil,1990,2h 1m,7.8,168,"Les victimes d'une épidémie d'encéphalite il y a de nombreuses années ont été catatoniques depuis ce temps-là, mais désormais un nouveau médicament donne la possibilité de les faire revivre.","https://m.media-amazon.com/images/M/MV5BMjY2MjdkZTYtNjk2OS00YzMyLWIwNzAtOWYwYTJkYjYyMzVjXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Horror,Patty Jenkins,tt1000283
RRR,2022,3h 7m,7.8,177,Une histoire fictive sur deux révolutionnaires légendaires et leur voyage loin de chez eux avant qu'ils ne commencent à se battre pour leur pays dans les années 1920.,"https://m.media-amazon.com/images/M/MV5BNTFiNmM5NzUtZTNkOC00MzQyLWI1ZGQtOGNhZDM2NTNhNjA3XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Fantasy,Steven Spielberg,tt1000284
Le Dernier Samouraï,2003,2h 34m,7.8,487,Un conseiller militaire américain capturé au combat embrasse la culture samouraï qu'il avait été engagé pour détruire.,"https://m.media-amazon.com/images/M/MV5BODhkMzBkZWItODVmYy00YWIzLTlhNTMtMWU2YjA0MjZkNGQ3XkEyXkFqcGc@._V1_QL75_UY207_CR7,0,140,207_.jpg",Fantasy,Martin Scorsese,tt1000285
Macadam cowboy,1969,1h 53m,7.8,126,"Un escroc naïf qui a quitté le Texas pour New York à la recherche de la fortune, se fait un ami en chemin.","https://m.media-amazon.com/images/M/MV5BY2QyNDQ4ZGQtOTFlYy00NDVjLWI5NTEtNTBmYTA5OTI0ODYyXkEyXkFqcGc@._V1_QL75_UX140_CR0,5,140,207_.jpg",Horror,Greta Gerwig,tt1000286
Le Cercle des neiges,2023,2h 24m,7.8,160,Le vol d'une équipe de rugby s'écrase sur un glacier dans les Andes. Les quelques passagers qui survivent à l'accident se retrouvent dans l'un des environnements les plus difficiles au monde.,"https://m.media-amazon.com/images/M/MV5BY2ZjYjM2N2ItMDc0OC00NDVjLTg4YzktOTg3MGMxYmU5MDUwXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Adventure,Martin Scorsese,tt1000287
Coraline,2009,1h 40m,7.8,282,"Coraline emménage avec ses parents dans une étrange maison aux colocataires excentriques. Dans le salon, elle découvre une petite porte menant sur une version idéalisée de son foyer, à ceci près que ses occupants ont pour yeux des boutons.","https://m.media-amazon.com/images/M/MV5BYmMzNzE3NDQtOWNkNS00NWVmLWFlYWUtYTNkY2ZmZjhhOGU2XkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Action,Steven Spielberg,tt1000288
Walk the Line,2005,2h 16m,7.8,273,"Une chronique de la vie de Johnny Cash, légende de la musique country, depuis ses débuts dans un champ de coton de l'Arkansas jusqu'à sa célébrité avec Sun Records à Memphis, où il enregistra aux côtés d'Elvis Presley, Jerry Lee Lewis et Carl Perkins.","https://m.media-amazon.com/images/M/MV5BNDIwMDE1YmUtMzQ3ZS00ZmRlLWE3OTctYzJiODI2YTc3OWJjXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Thriller,Quentin Tarantino,tt1000289
Captain Fantastic,2016,1h 58m,7.8,243,"Dans les forêts du nord-ouest du Pacifique, un père voué à élever ses six enfants avec une éducation physique et intellectuelle rigoureuse est forcé de quitter son paradis et d'entrer dans le monde normal, défiant son idée de ce que signifie être parent.","https://m.media-amazon.com/images/M/MV5BOWUxNDBlNTAtY2E0OS00YzM3LWE2ZDQtMDM3MmQ2NDRhYTlkXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Fantasy,Martin Scorsese,tt1000290
Brazil,1985,2h 12m,7.8,216,"Dans un monde rétro-futuriste, un bureaucrate tente de corriger une erreur administrative et devient un ennemi de l'État.","https://m.media-amazon.com/images/M/MV5BMGQ2YWFhZDgtMzJmZi00N2ZlLWE0NjUtZTFmMTM5ODdhY2JhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Sci-Fi,Martin Scorsese,tt1000291
Boyz n the Hood : La Loi de la rue,1991,1h 52m,7.8,161,"Suit la vie de trois jeunes hommes vivant dans le ghetto de Crenshaw à Los Angeles, décortiquant des questions sur la race, les relations, la violence et les perspectives d'avenir.","https://m.media-amazon.com/images/M/MV5BYjQ4ODY0M2UtZjMxMC00ZDAxLTg5NzctM2I0ZTc5N2IwMWFjXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Horror,Denis Villeneuve,tt1000292
Chacal,1973,2h 23m,7.8,50,"Un assassin professionnel nommé « Chacal » complote pour tuer Charles de Gaulle, le président de la France.","https://m.media-amazon.com/images/M/MV5BYTM3ZGMxYTYtOGY0Ni00N2Q0LTk4NjAtYWRlMDAxMGU0NmNmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Horror,Greta Gerwig,tt1000293
Close,2022,1h 44m,7.8,43,"L'amitié intense entre deux garçons de treize ans, Léo et Rémi, est soudainement interrompue. Peinant à comprendre ce qui s'est passé, Léo se rapproche de Sophie, la mère de Rémi.","https://m.media-amazon.com/images/M/MV5BZmU3NTFkNTAtOTVlZi00OGI0LWI2ZjAtYTQ3MzY0ZGE4NjhlXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Sci-Fi,James Cameron,tt1000294
Révélations,1999,2h 37m,7.8,186,Un chercheur en chimie subit des attaques personnelle et professionnelles lorsqu'il décide d'apparaître dans l'émission 60 Minutes sur l'industrie du tabac.,"https://m.media-amazon.com/images/M/MV5BMTQ0ODRhYzktNDBmNy00NTIzLTk1MDctN2RiZmJiZTM1YmNiXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Comedy,Denis Villeneuve,tt1000295
Dragons 2,2014,1h 42m,7.8,379,"Hiccup et Toothless ('Hocquet' et 'Sans Dents') découvrent une grotte glacée, habitée par des centaines de dragons sauvages et le mystérieux Cavalier des Dragons. Les deux amis se trouve au milieu d'une bataille pour protéger la paix","https://m.media-amazon.com/images/M/MV5BM2MxN2VjOGEtMmY1MS00YzExLTg2N2EtMDI4YmQ3YTE3YTliXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg",Action,Patty Jenkins,tt1000296
N.W.A: Straight Outta Compton,2015,2h 27m,7.8,226,"Au milieu des années 80, le groupe NWA vient des rues malfamées de Compton à Los Angeles, en Californie et révolutionne la culture hip-hop avec sa musique et ses histoires sur la vie dans les quartiers.","https://m.media-amazon.com/images/M/MV5BZWY4YjE4ZWMtYzEyYi00NGU0LWI2YjYtZTllNDdkZWU0ZjNmXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg",Adventure,Greta Gerwig,tt1000297
L'Île aux chiens,2018,1h 41m,7.8,199,"Situé au Japon, l'Ile aux Chiens suit l'odyssée d'un jeune garçon à la recherche de son chien perdu.","https://m.media-amazon.com/images/M/MV5BN2RhNjMwOGQtZGQ4Ny00M2M2LTkyYTgtYzY2ZmMyYzkxMThlXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg",Fantasy,Denis Villeneuve,tt1000298
Cabaret,1972,2h 4m,7.8,62,Une chanteuse de cabaret à l'époque de la République de Weimar à Berlin séduit deux hommes sous fond de montée en puissance du parti nazi.,"https://m.media-amazon.com/images/M/MV5BNTdmNWJkMWYtZjY1YS00YWMzLTk4MzItZDExNDBiNDViMGMyXkEyXkFqcGc@._V1_QL75_UY207_CR4,0,140,207_.jpg",Adventure,Jordan Peele,tt1000299
Quand la ville dort,1950,1h 52m,7.8,31,"Un gros braquage se déroule comme prévu, jusqu'à ce que la malchance et les trahisons ne fassent tout s'effondrer.","https://m.media-amazon.com/images/M/MV5BMWE2Y2E0ZTMtYzZmNi00MzZiLTg0ZTctMGY2YWJkMzE3NDEyXkEyXkFqcGc@._V1_QL75_UX140_CR0,3,140,207_.jpg",Drama,Jordan Peele,tt1000300
Kiki la petite sorcière,1989,1h 43m,7.8,176,"Kiki, 13 ans, part vivre seule dans une ville côtière afin de parfaire sa formation de sorcière. Sur les conseils d'Osono, une boulangère qui l'héberge gratuitement, la jeune fille crée un service de livraison rapide.","https://m.media-amazon.com/images/M/MV5BNjQzNTE0ODQ2Nl5BMl5BanBnXkFtZTgwNjg1OTA3MjE@._V1_QL75_UY207_CR6,0,140,207_.jpg",Sci-Fi,Patty Jenkins,tt1000301
Morse,2008,1h 54m,7.8,233,"Oskar, un garçon doux et solitaire de 12 ans victime de harcèlement scolaire, trouve l'amour en la personne de Eli, une fille magnifique mais particulière, dont l'arrivée coïncide avec une série de morts bien mystérieuses.","https://m.media-amazon.com/images/M/MV5BMjU4MzA3NDMyOF5BMl5BanBnXkFtZTcwMTYzMDQzMg@@._V1_QL75_UX140_CR0,0,140,207_.jpg",Drama,Patty Jenkins,tt1000302
L'innocence,2023,2h 7m,7.8,34,Une mère demande des réponses à l'enseignant lorsque son fils commence à se comporter de manière étrange.,"https://m.media-amazon.com/images/M/MV5BMGJjYzVhYjEtNWYwMy00YTk5LWExMjYtNTdjODMyZTU3MzQwXkEyXkFqcGc@._V1_QL75_UY207_CR1,0,140,207_.jpg",Comedy,Steven Spielberg,tt1000303
